analysis,model,k,tau2,I2,Q,parameter,estimate,se,ci_lo,ci_hi
icc_primary_k184,baseline,184,0.016682,0.654,528.3941,mu,0.2892,0.014,0.2616,0.3167
icc_primary_k184,DLN-stage,184,0.016435,0.644,508.0215,Intercept,0.3023,0.0186,0.2657,0.339
icc_primary_k184,DLN-stage,184,0.016435,0.644,508.0215,stage[linear],-0.0176,0.0295,-0.0758,0.0405
icc_primary_k184,DLN-stage,184,0.016435,0.644,508.0215,stage[network],-0.1003,0.0571,-0.2129,0.0123
icc_primary_k184,reduction,184,0.000247,1.5,0.0,delta_tau2,0.000247,0.0,0.0,0.0
icc_drop_mixed,baseline,125,0.01945,0.7,413.4603,mu,0.2956,0.0181,0.2597,0.3315
icc_drop_mixed,DLN-stage,125,0.01823,0.692,396.0922,Intercept,0.3443,0.0314,0.2821,0.4065
icc_drop_mixed,DLN-stage,125,0.01823,0.692,396.0922,stage[linear],-0.0595,0.0392,-0.1371,0.0182
icc_drop_mixed,DLN-stage,125,0.01823,0.692,396.0922,stage[network],-0.1413,0.0637,-0.2675,-0.0152
icc_drop_mixed,reduction,125,0.00122,6.3,0.0,delta_tau2,0.00122,0.0,0.0,0.0
icc_mixed_as_dot,baseline,184,0.016682,0.654,528.3941,mu,0.2892,0.014,0.2616,0.3167
icc_mixed_as_dot,DLN-stage,184,0.016435,0.644,508.0215,Intercept,0.3023,0.0186,0.2657,0.339
icc_mixed_as_dot,DLN-stage,184,0.016435,0.644,508.0215,stage[linear],-0.0176,0.0295,-0.0758,0.0405
icc_mixed_as_dot,DLN-stage,184,0.016435,0.644,508.0215,stage[network],-0.1003,0.0571,-0.2129,0.0123
icc_mixed_as_dot,reduction,184,0.000247,1.5,0.0,delta_tau2,0.000247,0.0,0.0,0.0
icc_mixed_as_linear,baseline,184,0.016682,0.654,528.3941,mu,0.2892,0.014,0.2616,0.3167
icc_mixed_as_linear,DLN-stage,184,0.015721,0.648,513.7051,Intercept,0.3447,0.0303,0.285,0.4044
icc_mixed_as_linear,DLN-stage,184,0.015721,0.648,513.7051,stage[linear],-0.0636,0.0343,-0.1312,0.0041
icc_mixed_as_linear,DLN-stage,184,0.015721,0.648,513.7051,stage[network],-0.1431,0.0614,-0.2641,-0.022
icc_mixed_as_linear,reduction,184,0.00096,5.8,0.0,delta_tau2,0.00096,0.0,0.0,0.0
disc_icc_minus_ecc,baseline,156,0.04692,0.655,449.7653,mu,-0.125,0.0237,-0.1718,-0.0782
disc_icc_minus_ecc,DLN-stage,156,0.043042,0.654,441.9875,Intercept,-0.1997,0.0307,-0.2604,-0.139
disc_icc_minus_ecc,DLN-stage,156,0.043042,0.654,441.9875,stage[linear],0.1736,0.0488,0.0771,0.2701
disc_icc_minus_ecc,DLN-stage,156,0.043042,0.654,441.9875,stage[network],0.1414,0.096,-0.0482,0.331
disc_icc_minus_ecc,reduction,156,0.003878,8.3,0.0,delta_tau2,0.003878,0.0,0.0,0.0
ecc_primary,baseline,156,0.093993,0.911,1751.1664,mu,0.4037,0.0274,0.3495,0.4579
ecc_primary,DLN-stage,156,0.085515,0.91,1705.0453,Intercept,0.4958,0.0354,0.4259,0.5657
ecc_primary,DLN-stage,156,0.085515,0.91,1705.0453,stage[linear],-0.2014,0.0556,-0.3113,-0.0914
ecc_primary,DLN-stage,156,0.085515,0.91,1705.0453,stage[network],-0.2433,0.1096,-0.4598,-0.0269
ecc_primary,reduction,156,0.008478,9.0,0.0,delta_tau2,0.008478,0.0,0.0,0.0
