scenario,flips,n_flips,k_dot,k_linear,k_linear_plus,k_network,tau2_mod,pct_reduction,lp_iec_lowest,lp_gap_positive
0,baseline_coding,0,33,97,43,11,0.01119,32.9,True,True
1,drugs_social_to_lplus,1,33,74,66,11,0.011546,30.8,True,True
2,clinical_stigma_to_lplus,1,33,90,50,11,0.011079,33.6,True,True
3,clinical_stigma_to_lplus|drugs_social_to_lplus,2,33,67,73,11,0.01141,31.6,True,True
4,race_delib_to_linear,1,33,112,28,11,0.011651,30.2,True,True
5,race_delib_to_linear|drugs_social_to_lplus,2,33,89,51,11,0.011848,29.0,True,False
6,race_delib_to_linear|clinical_stigma_to_lplus,2,33,105,35,11,0.011591,30.5,True,False
7,race_delib_to_linear|clinical_stigma_to_lplus|drugs_social_to_lplus,3,33,82,58,11,0.011797,29.3,True,False
8,gender_to_linear,1,33,112,28,11,0.01168,30.0,True,True
9,gender_to_linear|drugs_social_to_lplus,2,33,89,51,11,0.011865,28.9,True,True
10,gender_to_linear|clinical_stigma_to_lplus,2,33,105,35,11,0.011614,30.4,True,True
11,gender_to_linear|clinical_stigma_to_lplus|drugs_social_to_lplus,3,33,82,58,11,0.011814,29.2,True,True
12,gender_to_linear|race_delib_to_linear,2,33,127,13,11,0.011846,29.0,True,True
13,gender_to_linear|race_delib_to_linear|drugs_social_to_lplus,3,33,104,36,11,0.011803,29.2,True,False
14,gender_to_linear|race_delib_to_linear|clinical_stigma_to_lplus,3,33,120,20,11,0.011876,28.8,True,True
15,gender_to_linear|race_delib_to_linear|clinical_stigma_to_lplus|drugs_social_to_lplus,4,33,97,43,11,0.011866,28.9,True,False
16,other_intergroup_to_linear,1,33,110,30,11,0.010966,34.3,True,True
17,other_intergroup_to_linear|drugs_social_to_lplus,2,33,87,53,11,0.011465,31.3,True,True
18,other_intergroup_to_linear|clinical_stigma_to_lplus,2,33,103,37,11,0.010889,34.7,True,True
19,other_intergroup_to_linear|clinical_stigma_to_lplus|drugs_social_to_lplus,3,33,80,60,11,0.011328,32.1,True,True
20,other_intergroup_to_linear|race_delib_to_linear,2,33,125,15,11,0.01146,31.3,True,False
21,other_intergroup_to_linear|race_delib_to_linear|drugs_social_to_lplus,3,33,102,38,11,0.011823,29.1,True,False
22,other_intergroup_to_linear|race_delib_to_linear|clinical_stigma_to_lplus,3,33,118,22,11,0.011438,31.4,True,False
23,other_intergroup_to_linear|race_delib_to_linear|clinical_stigma_to_lplus|drugs_social_to_lplus,4,33,95,45,11,0.011756,29.5,True,False
24,other_intergroup_to_linear|gender_to_linear,2,33,125,15,11,0.01152,30.9,True,True
25,other_intergroup_to_linear|gender_to_linear|drugs_social_to_lplus,3,33,102,38,11,0.011849,29.0,True,True
26,other_intergroup_to_linear|gender_to_linear|clinical_stigma_to_lplus,3,33,118,22,11,0.011478,31.2,True,True
27,other_intergroup_to_linear|gender_to_linear|clinical_stigma_to_lplus|drugs_social_to_lplus,4,33,95,45,11,0.011781,29.4,True,True
29,other_intergroup_to_linear|gender_to_linear|race_delib_to_linear|drugs_social_to_lplus,4,33,117,23,11,0.011844,29.0,True,False
30,other_intergroup_to_linear|gender_to_linear|race_delib_to_linear|clinical_stigma_to_lplus,4,33,133,7,11,0.01186,28.9,True,False
31,other_intergroup_to_linear|gender_to_linear|race_delib_to_linear|clinical_stigma_to_lplus|drugs_social_to_lplus,5,33,110,30,11,0.011892,28.7,True,False
