outcome_type,model,k,tau2,I2,parameter,estimate,se,ci_lo,ci_hi
experiential,baseline,306,0.143683,0.649,mu,0.2816,0.0286,0.2254,0.3379
experiential,DLN-stage,306,0.127655,0.623,Intercept,-0.0127,0.0791,-0.1684,0.1429
experiential,DLN-stage,306,0.127655,0.623,stage[linear],0.267,0.0873,0.0953,0.4387
experiential,DLN-stage,306,0.127655,0.623,stage[network],0.4452,0.0927,0.2628,0.6275
experiential,reduction,306,0.016028,11.2,delta_tau2,0.016028,0.0,0.0,0.0
experiential,QM_test,306,0.0,0.0,QM(2),66.3904,0.0,0.0,0.0
behavioral,baseline,98,0.38028,0.865,mu,0.4782,0.0688,0.3416,0.6147
behavioral,DLN-stage,98,0.306783,0.847,Intercept,-0.3793,0.3336,-1.0417,0.2831
behavioral,DLN-stage,98,0.306783,0.847,stage[linear],1.0777,0.3433,0.3962,1.7592
behavioral,DLN-stage,98,0.306783,0.847,stage[network],0.575,0.3496,-0.119,1.269
behavioral,reduction,98,0.073497,19.3,delta_tau2,0.073497,0.0,0.0,0.0
behavioral,QM_test,98,0.0,0.0,QM(2),95.2907,0.0,0.0,0.0
physiological,baseline,23,0.0,0.0,mu,-0.154,0.0446,-0.2465,-0.0616
physiological,DLN-stage,23,0.0,0.0,Intercept,-0.1942,0.0482,-0.2945,-0.0939
physiological,DLN-stage,23,0.0,0.0,mod[network],0.2764,0.1265,0.0133,0.5395
physiological,reduction,23,0.0,0.0,delta_tau2,0.0,0.0,0.0,0.0
physiological,QM_test,23,0.0,0.0,QM(1),4.7738,0.0,0.0,0.028895
